nohup: ignoring input
Epoch:10/60 || Epochiter:22/23 || loss:0.4761||Batchtime:0.1439||ETA:0:02:45
Epoch:10/60 || Epochiter:23/23 || loss:0.6998||Batchtime:0.1383||ETA:0:02:39
valid_loss:0.0039337980560958385,valid_access:0.8023809523809524
Epoch:11/60 || Epochiter:1/23 || loss:0.5821||Batchtime:2.0075||ETA:0:38:28
Epoch:11/60 || Epochiter:2/23 || loss:0.5351||Batchtime:0.9374||ETA:0:17:57
Epoch:11/60 || Epochiter:3/23 || loss:0.5584||Batchtime:0.1271||ETA:0:02:25
Epoch:11/60 || Epochiter:4/23 || loss:0.5235||Batchtime:0.1046||ETA:0:02:00
Epoch:11/60 || Epochiter:5/23 || loss:0.5680||Batchtime:0.0997||ETA:0:01:54
Epoch:11/60 || Epochiter:6/23 || loss:0.5340||Batchtime:0.1001||ETA:0:01:54
Epoch:11/60 || Epochiter:7/23 || loss:0.5176||Batchtime:0.1018||ETA:0:01:56
Epoch:11/60 || Epochiter:8/23 || loss:0.4296||Batchtime:0.0999||ETA:0:01:54
Epoch:11/60 || Epochiter:9/23 || loss:0.4744||Batchtime:0.0999||ETA:0:01:54
Epoch:11/60 || Epochiter:10/23 || loss:0.5005||Batchtime:0.0989||ETA:0:01:52
Epoch:11/60 || Epochiter:11/23 || loss:0.5481||Batchtime:0.0988||ETA:0:01:52
Epoch:11/60 || Epochiter:12/23 || loss:0.4689||Batchtime:0.0966||ETA:0:01:50
Epoch:11/60 || Epochiter:13/23 || loss:0.4331||Batchtime:0.1423||ETA:0:02:41
Epoch:11/60 || Epochiter:14/23 || loss:0.4542||Batchtime:0.7553||ETA:0:14:18
Epoch:11/60 || Epochiter:15/23 || loss:0.5462||Batchtime:0.2303||ETA:0:04:21
Epoch:11/60 || Epochiter:16/23 || loss:0.4574||Batchtime:0.1717||ETA:0:03:14
Epoch:11/60 || Epochiter:17/23 || loss:0.5196||Batchtime:0.1427||ETA:0:02:41
Epoch:11/60 || Epochiter:18/23 || loss:0.4169||Batchtime:0.1505||ETA:0:02:50
Epoch:11/60 || Epochiter:19/23 || loss:0.4565||Batchtime:0.1545||ETA:0:02:54
Epoch:11/60 || Epochiter:20/23 || loss:0.4058||Batchtime:0.1480||ETA:0:02:47
Epoch:11/60 || Epochiter:21/23 || loss:0.4837||Batchtime:0.1478||ETA:0:02:46
Epoch:11/60 || Epochiter:22/23 || loss:0.3722||Batchtime:0.1426||ETA:0:02:41
Epoch:11/60 || Epochiter:23/23 || loss:0.3595||Batchtime:0.1388||ETA:0:02:36
valid_loss:0.003556152805685997,valid_access:0.8253968253968254
Epoch:12/60 || Epochiter:1/23 || loss:0.4715||Batchtime:3.1844||ETA:0:59:48
Epoch:12/60 || Epochiter:2/23 || loss:0.4238||Batchtime:0.1063||ETA:0:01:59
Epoch:12/60 || Epochiter:3/23 || loss:0.4064||Batchtime:0.1548||ETA:0:02:54
Epoch:12/60 || Epochiter:4/23 || loss:0.5802||Batchtime:0.0994||ETA:0:01:51
Epoch:12/60 || Epochiter:5/23 || loss:0.4303||Batchtime:0.0989||ETA:0:01:51
Epoch:12/60 || Epochiter:6/23 || loss:0.5259||Batchtime:0.0991||ETA:0:01:51
Epoch:12/60 || Epochiter:7/23 || loss:0.4035||Batchtime:0.0997||ETA:0:01:51
Epoch:12/60 || Epochiter:8/23 || loss:0.4098||Batchtime:0.1103||ETA:0:02:03
Epoch:12/60 || Epochiter:9/23 || loss:0.4780||Batchtime:0.1277||ETA:0:02:22
Epoch:12/60 || Epochiter:10/23 || loss:0.4071||Batchtime:0.1402||ETA:0:02:36
Epoch:12/60 || Epochiter:11/23 || loss:0.4809||Batchtime:0.1407||ETA:0:02:37
Epoch:12/60 || Epochiter:12/23 || loss:0.4550||Batchtime:0.1409||ETA:0:02:37
Epoch:12/60 || Epochiter:13/23 || loss:0.4427||Batchtime:0.7241||ETA:0:13:27
Epoch:12/60 || Epochiter:14/23 || loss:0.4528||Batchtime:0.1428||ETA:0:02:39
Epoch:12/60 || Epochiter:15/23 || loss:0.4228||Batchtime:0.1397||ETA:0:02:35
Epoch:12/60 || Epochiter:16/23 || loss:0.5245||Batchtime:0.1725||ETA:0:03:11
Epoch:12/60 || Epochiter:17/23 || loss:0.4302||Batchtime:0.1392||ETA:0:02:34
Epoch:12/60 || Epochiter:18/23 || loss:0.4463||Batchtime:0.1400||ETA:0:02:35
Epoch:12/60 || Epochiter:19/23 || loss:0.4944||Batchtime:0.1410||ETA:0:02:36
